0,,PARTY NAME,ABBREV
1,1,NATIONAL RAINBOW COALITION- KENYA,NARC-KENYA
2,2,THE NATIONAL VISION PARTY,NVP
3,3,THE LABOUR PARTY OF KENYA,LPK
4,4,MWANGAZA TU PARTY,MTP
5,5,PARTY OF INDEPENDENT CANDIDATES OF KENYA,PICK
6,6,RESTORE AND BUILD KENYA,RBK
7,7,KENYA NATIONAL CONGRESS,KNC
8,8,MAZINGIRA GREENS PARTY OF KENYA,MGPK
9,9,NATIONAL DEMOCRATIC MOVEMENT,NDM
10,10,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
11,11,DEMOCRATIC PARTY OF KENYA,DP
12,12,PARTY OF NATIONAL UNITY,PNU
13,13,UNITED DEMOCRATIC ALLIANCE,UDA
14,14,AGANO PARTY,AGANO
15,15,KENYA SOCIAL CONGRESS,KSC
16,16,ORANGE DEMOCRATIC MOVEMENT,ODM
17,17,PEOPLES PARTY OF KENYA,PPK
18,18,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
19,19,PROGRESSIVE PARTY OF KENYA,PPOK
20,20,JUBILEE PARTY,JP
21,21,MAENDELEO DEMOCRATIC PARTY,MDP
22,22,NATIONAL RAINBOW COALITION,NARC
23,23,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
24,24,KENYA PATRIOTS PARTY,KPP
25,25,COMMUNIST PARTY OF KENYA,CPK
26,26,KENYA AFRICAN NATIONAL UNION,KANU
27,27,SAFINA,SAFINA
28,28,CHAMA CHA UZALENDO,CCU
29,29,NATIONAL AGENDA PARTY OF KENYA,NAPK
30,30,PEOPLES EMPOWERMENT PARTY,PEP
31,31,PEOPLES DEMOCRATIC PARTY,PDP
32,32,THE NEW DEMOCRATS,TND
33,33,UNITED DEMOCRATIC MOVEMENT,UDM
34,34,SHIRIKISHO PARTY OF KENYA,SPK
35,35,PARTY OF DEMOCRATIC UNITY,PDU
36,36,MILLENNIUM PARTY OF KENYA,MPK
37,37,FRONTIER ALLIANCE PARTY,FAP
38,38,FARMERS PARTY,FP
39,39,ECONOMIC FREEDOM PARTY,EFP
40,40,FEDERAL PARTY OF KENYA,FPK
41,41,MUUNGANO PARTY,MUUNGANO
42,42,NATIONAL PARTY OF KENYA,NPK
43,43,JIRANI MZALENDO ASILI PARTY OF KENYA,J-MAPK
44,44,CHAMA CHA MASHINANI,CCM
45,45,ALLIANCE FOR REAL CHANGE,ARK
46,46,FORUM FOR REPUBLICAN DEMOCRACY,FORD
47,47,REPUBLICAN LIBERTY PARTY,RLP
48,48,ROOTS PARTY OF KENYA,RPK
49,49,CITIZENS CONVENTION PARTY,CCP
50,50,AMANI NATIONAL CONGRESS,ANC
51,51,DEVOLUTION PARTY OF KENYA,DPK
52,52,UNITED DEMOCRATIC PARTY,UDP
53,53,DILIGENCE DEVELOPMENT ALLIANCE,DDA
54,54,PEOPLES TRUST PARTY,PTP
55,55,MAENDELEO CHAP CHAP PARTY,MCCP
56,56,DEMOCRATIC CONGRESS,DC
57,57,LIBERAL DEMOCRATIC PARTY,LDP
58,58,GREEN CONGRESS OF KENYA,GCK
59,59,NATIONAL LIBERAL PARTY,NLP
60,60,MOVEMENT FOR DEMOCRACY AND GROWTH,MDG
61,61,ALTERNATIVE LEADERSHIP PARTY OF KENYA,ALPK
62,62,UKWELI PARTY,UP
63,63,EMPOWERMENT AND LIBERATION PARTY,ELP
64,64,THIRDWAY ALLIANCE KENYA,TAK
65,65,JUSTICE AND FREEDOM PARTY,JFP
66,66,GRAND DREAM DEVELOPMENT PARTY,GGDP
67,67,UNITED GREEN MOVEMENT,UGM
68,68,USAWA KWA WOTE PARTY,UKW
69,69,UNITED PROGRESSIVE ALLIANCE,UPA
70,70,THE SERVICE PARTY,TSP
71,71,NATIONAL ORDINARY PEOPLES EMPOWERMENT UNION,NOPEU
72,72,NATIONAL RECONSTRUCTION ALLIANCE,NRA
73,73,DEMOCRATIC ACTION PARTY- KENYA,DAP-K
74,74,PARTY FOR PEACE AND DEMOCRACY,PPD
75,75,CHAMA CHA KAZI,KAZI
76,76,TUJIBEBE WAKENYA PARTY,JIBEBE
77,77,KENYA UNION PARTY,KUP
78,78,UMOJA SUMMIT PARTY,USP
79,79,PAMOJA AFRICAN ALLIANCE,PAA
80,80,MABADILIKO PARTY OF KENYA,MAPK
81,81,ENTRUST PIONEER PARTY,EPP
